chapter,verse,verse_id,chapter_name,neutral_simple_english,image_prompt_gpt_image_2
1,1,1.1,Arjuna Visada Yoga,"Dhritarashtra said: Sanjaya, my sons and the sons of Pandu have gathered at Kurukshetra, the field of dharma, ready for war. What did they do?","Bhagavad Gita 1.1 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: Dhritarashtra said: Sanjaya, my sons and the sons of Pandu have gathered at Kurukshetra, the field of dharma, ready for war. What did they do? Tone: tense, sorrowful, morally heavy, pre-battle realism. Include character cues: blind elder king Dhritarashtra in a royal hall, strong but aged, listening intensely; Sanjaya as a mature seer-narrator with composed face and visionary gaze. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,2,1.2,Arjuna Visada Yoga,"Sanjaya said: Seeing the Pandava army arranged for battle, King Duryodhana went to his teacher Drona and spoke these words.","Bhagavad Gita 1.2 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: Sanjaya said: Seeing the Pandava army arranged for battle, King Duryodhana went to his teacher Drona and spoke these words. Tone: tense, sorrowful, morally heavy, pre-battle realism. Include character cues: Sanjaya as a mature seer-narrator with composed face and visionary gaze; Duryodhana as a powerful mature Kaurava prince in heavy armor, proud and tense; Drona as an elderly guru-warrior, stern, strong, white-bearded, carrying bow and armor. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,3,1.3,Arjuna Visada Yoga,"Duryodhana said: Teacher, look at this mighty army of the sons of Pandu, arranged by your wise student, the son of Drupada.","Bhagavad Gita 1.3 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: Duryodhana said: Teacher, look at this mighty army of the sons of Pandu, arranged by your wise student, the son of Drupada. Tone: tense, sorrowful, morally heavy, pre-battle realism. Include character cues: Duryodhana as a powerful mature Kaurava prince in heavy armor, proud and tense. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,4,1.4,Arjuna Visada Yoga,"Here are heroic archers, equal in battle to Bhima and Arjuna: Yuyudhana, Virata, and Drupada, all great warriors.","Bhagavad Gita 1.4 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: Here are heroic archers, equal in battle to Bhima and Arjuna: Yuyudhana, Virata, and Drupada, all great warriors. Tone: tense, sorrowful, morally heavy, pre-battle realism. Include character cues: Arjuna as a mature powerful archer holding Gandiva; Bhima as a massive muscular warrior with mace-like strength. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,5,1.5,Arjuna Visada Yoga,"There are also Dhrishtaketu, Chekitana, the brave king of Kashi, Purujit, Kuntibhoja, and Shaibya, all excellent men.","Bhagavad Gita 1.5 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: There are also Dhrishtaketu, Chekitana, the brave king of Kashi, Purujit, Kuntibhoja, and Shaibya, all excellent men. Tone: tense, sorrowful, morally heavy, pre-battle realism. Keep Krishna and Arjuna central on the chariot unless the verse specifically calls for Dhritarashtra, Sanjaya, or another warrior. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,6,1.6,Arjuna Visada Yoga,"There are the strong Yudhamanyu, the brave Uttamauja, Abhimanyu the son of Subhadra, and the sons of Draupadi, all great warriors.","Bhagavad Gita 1.6 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: There are the strong Yudhamanyu, the brave Uttamauja, Abhimanyu the son of Subhadra, and the sons of Draupadi, all great warriors. Tone: tense, sorrowful, morally heavy, pre-battle realism. Include character cues: Bhima as a massive muscular warrior with mace-like strength; Abhimanyu as a younger heroic warrior, strong and brave but visibly younger than Arjuna. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,7,1.7,Arjuna Visada Yoga,"Now, best of teachers, hear also about the important leaders on our side. I will name the commanders of my army for you.","Bhagavad Gita 1.7 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: Now, best of teachers, hear also about the important leaders on our side. I will name the commanders of my army for you. Tone: tense, sorrowful, morally heavy, pre-battle realism. Keep Krishna and Arjuna central on the chariot unless the verse specifically calls for Dhritarashtra, Sanjaya, or another warrior. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,8,1.8,Arjuna Visada Yoga,"There are you yourself, Bhishma, Karna, victorious Kripa, Ashvatthama, Vikarna, and Bhurishrava, the son of Somadatta.","Bhagavad Gita 1.8 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: There are you yourself, Bhishma, Karna, victorious Kripa, Ashvatthama, Vikarna, and Bhurishrava, the son of Somadatta. Tone: tense, sorrowful, morally heavy, pre-battle realism. Include character cues: Bhishma as an elderly but gigantic and mighty white-haired warrior elder; Karna as a radiant powerful warrior with golden armor. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,9,1.9,Arjuna Visada Yoga,Many other heroes are also ready to give their lives for me. They are armed with many weapons and skilled in battle.,"Bhagavad Gita 1.9 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: Many other heroes are also ready to give their lives for me. They are armed with many weapons and skilled in battle. Tone: tense, sorrowful, morally heavy, pre-battle realism. Keep Krishna and Arjuna central on the chariot unless the verse specifically calls for Dhritarashtra, Sanjaya, or another warrior. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
1,10,1.10,Arjuna Visada Yoga,"Our army, protected by Bhishma, is called aparyaptam; their army, protected by Bhima, is called paryaptam. These words can be read as insufficient/sufficient or vast/limited, so the verse is kept neutral.","Bhagavad Gita 1.10 image prompt. Create a cinematic, reverent Mahabharata-era Indian epic image for GPT Image 2. Use rich natural color, detailed ancient armor, silk, gold ornaments, carved chariots, dust, flags, and a vast Kurukshetra battlefield atmosphere. All warriors shown must look physically strong, disciplined, and battle-ready; no weak or comic bodies. Lord Krishna must be the strongest and visually largest presence in the composition: mature divine adult, blue skin, broad powerful build, calm commanding face, radiant golden aura, peacock-feather crown, yellow silk, unmistakably supreme even when seated as charioteer. Arjuna should be a mature powerful warrior archer with Gandiva, noble face, athletic build, not a teenager. If Bhishma or Drona appear, show them as elderly but extremely formidable warrior elders, tall, muscular, white-haired or grey-haired, with authority. Avoid modern objects, gore, severed bodies, caricature, text, captions, watermarks, logos, or extra fingers. Square 1:1 composition, centered epic framing, ultra-detailed, devotional but realistic, dramatic cinematic lighting. Chapter context: Opening battlefield context: two immense armies face each other at Kurukshetra, conches, banners, elephants, horses, and chariots under a tense dawn sky. Verse meaning to visualize: Our army, protected by Bhishma, is called aparyaptam; their army, protected by Bhima, is called paryaptam. These words can be read as insufficient/sufficient or vast/limited, so the verse is kept neutral. Tone: tense, sorrowful, morally heavy, pre-battle realism. Include character cues: Bhishma as an elderly but gigantic and mighty white-haired warrior elder; Bhima as a massive muscular warrior with mace-like strength. Visual direction: Emphasize army inspection, conches, commanders, banners, and the rising tension before battle; show both sides as powerful and disciplined. Make Krishna visibly larger, stronger, and more radiant than every warrior, yet serene and compassionate. Make Arjuna and all warriors powerful and age-appropriate; show no children unless the verse context specifically requires a younger warrior like Abhimanyu. Do not render any written Sanskrit or English words inside the image."
